Time (sec),AF Sens 1 Ratio (AFR),Boost (PSI),Calculated Load (g/rev),Feedback Knock (°),Fine Knock Learn (°),Gear Position (Gear),Ignition Timing (°),MAF (g/s),Primary Ign. (°),RPM (RPM),TD Burst (%),TD Continuous (%),Target Boost (PSI),Throttle Pos. (%),Wastegate Duty (%),Wastegate Max (%),AP Info:[AP3-SUB-001 v1.7.3.0-12522][2004 USDM Impreza WRX][Reflash: EXPERIMENTAL-TP-cobb2.ptm - Realtime: EXPERIMENTAL-TP-cobb2.ptm]
0.000,14.59,-9.51,0.31,0.00,0.00,1,12.50,5.74,11.99,1098,0.00,5.00,-5.34,0,0.00,0.00,0
0.072,14.59,-9.51,0.31,0.00,0.00,1,11.50,5.71,11.99,1105,0.00,5.00,-5.34,0,0.00,0.00,0
0.135,14.59,-9.51,0.31,0.00,0.00,1,11.50,5.74,11.99,1105,0.00,5.00,-5.34,0,0.00,0.00,0
0.221,14.59,-9.51,0.31,0.00,0.00,1,11.50,5.68,11.99,1102,0.00,5.00,-5.34,0,0.00,0.00,0
0.274,14.59,-9.49,0.31,0.00,0.00,1,12.00,5.74,11.99,1097,0.00,5.00,-5.34,0,0.00,0.00,0
0.362,14.59,-9.49,0.31,0.00,0.00,1,11.50,5.74,11.99,1106,0.00,5.00,-5.34,0,0.00,0.00,0
0.425,14.59,-9.51,0.31,0.00,0.00,1,11.50,5.74,11.99,1106,0.00,5.00,-5.34,0,0.00,0.00,0
0.499,14.47,-9.49,0.31,0.00,0.00,1,11.00,5.77,11.99,1105,0.00,5.00,-5.34,0,0.00,0.00,0
0.591,14.59,-9.49,0.31,0.00,0.00,1,11.50,5.80,11.99,1107,0.00,5.00,-5.34,0,0.00,0.00,0
0.639,14.59,-9.51,0.31,0.00,0.00,1,12.00,5.74,11.99,1098,0.00,5.00,-5.34,0,0.00,0.00,0
0.716,14.70,-9.48,0.31,0.00,0.00,1,10.50,5.74,11.99,1114,0.00,5.00,-5.34,0,0.00,0.00,0
0.792,14.59,-9.46,0.31,0.00,0.00,1,11.00,5.74,11.99,1112,0.00,5.00,-5.34,0,0.00,0.00,0
0.865,14.70,-9.49,0.31,0.00,0.00,1,12.50,5.74,11.99,1096,0.00,5.00,-5.34,0,0.00,0.00,0
0.941,14.59,-9.46,0.31,0.00,0.00,1,13.00,5.77,11.99,1091,0.00,5.00,-5.34,0,0.00,0.00,0
1.003,14.59,-9.46,0.31,0.00,0.00,1,11.50,5.74,11.99,1103,0.00,5.00,-5.34,0,0.00,0.00,0
1.085,14.59,-9.46,0.31,0.00,0.00,1,10.00,5.74,11.99,1121,0.00,5.00,-5.34,0,0.00,0.00,0
1.158,14.47,-9.49,0.31,0.00,0.00,1,10.00,5.68,11.99,1110,0.00,5.00,-5.34,0,0.00,0.00,0
1.232,14.59,-9.51,0.31,0.00,0.00,1,11.00,5.68,11.99,1112,0.00,5.00,-5.34,0,0.00,0.00,0
1.307,14.59,-9.51,0.31,0.00,0.00,1,12.00,5.68,11.99,1106,0.00,5.00,-5.34,0,0.00,0.00,0
1.369,14.59,-9.53,0.31,0.00,0.00,1,11.00,5.68,11.99,1112,0.00,5.00,-5.34,0,0.00,0.00,0
1.452,14.59,-9.53,0.31,0.00,0.00,1,10.50,5.71,11.99,1114,0.00,5.00,-5.34,0,0.00,0.00,0
1.515,14.70,-9.53,0.31,0.00,0.00,1,11.00,5.71,11.99,1112,0.00,5.00,-5.34,0,0.00,0.00,0
1.595,14.70,-9.53,0.31,0.00,0.00,1,11.50,5.68,11.99,1107,0.00,5.00,-5.34,2,0.00,0.00,0
1.672,14.59,-9.38,0.32,0.00,0.00,1,25.00,6.48,25.35,1113,0.00,5.00,-5.34,2,0.00,0.00,0
1.749,14.70,-9.15,0.34,0.00,0.00,1,25.00,7.08,25.35,1166,0.00,5.00,-5.34,2,0.00,0.00,0
1.812,14.70,-9.05,0.34,0.00,0.00,1,25.50,7.15,26.05,1205,0.00,5.00,-5.34,4,0.00,0.00,0
1.887,14.70,-9.03,0.36,0.00,0.00,1,26.50,9.11,26.76,1268,0.00,5.00,-5.34,7,0.00,0.00,0
1.962,14.59,-7.83,0.44,0.00,0.00,1,27.00,14.03,28.16,1312,0.00,4.44,-5.34,7,0.00,0.00,0
2.033,13.32,-7.27,0.50,0.00,0.00,1,29.50,14.78,31.33,1412,0.00,3.09,-5.34,8,0.00,0.00,0
2.105,11.60,-6.85,0.54,0.00,0.00,1,31.50,15.23,33.44,1539,0.00,2.15,-5.34,8,0.00,0.00,0
2.186,11.60,-6.98,0.55,0.00,0.00,1,34.00,15.85,35.55,1703,0.00,2.25,-5.34,8,0.00,0.00,0
2.255,13.32,-7.12,0.54,0.00,0.00,1,35.50,15.78,36.25,1768,0.00,2.62,-5.34,8,0.00,0.00,0
2.334,15.16,-7.27,0.53,0.00,0.00,1,36.00,15.92,38.01,1810,0.00,3.27,-5.34,8,0.00,0.00,0
2.400,16.54,-7.48,0.52,0.00,0.00,1,38.00,16.26,39.77,2026,0.00,3.69,-5.34,8,0.00,0.00,0
2.479,15.50,-7.72,0.49,0.00,0.00,1,39.00,16.12,39.41,2156,0.00,4.30,-5.34,8,0.00,0.00,0
2.546,14.93,-8.01,0.47,0.00,0.00,1,39.00,16.19,39.06,2227,0.00,5.00,-5.34,8,0.00,0.00,0
2.614,14.59,-8.37,0.45,0.00,0.00,1,38.50,16.19,38.71,2295,0.00,5.00,-5.34,8,0.00,0.00,0
2.693,14.59,-8.60,0.43,0.00,0.00,1,38.00,16.40,38.36,2316,0.00,5.00,-5.34,8,0.78,0.97,0
2.765,14.70,-8.78,0.42,0.00,0.00,1,38.00,16.26,38.36,2358,0.00,5.00,-5.34,8,3.53,3.10,0
2.837,14.70,-8.91,0.42,0.00,0.00,1,38.00,16.33,38.36,2368,0.00,5.00,-5.34,8,3.92,6.47,0
2.906,14.59,-9.01,0.41,0.00,0.00,1,38.00,16.33,38.36,2408,0.00,5.00,-5.34,8,6.27,6.01,0
2.980,14.47,-9.07,0.41,0.00,0.00,1,38.00,16.12,38.36,2400,0.00,5.00,-5.34,8,5.88,8.02,0
3.066,14.59,-9.15,0.40,0.00,0.00,1,38.00,16.05,38.36,2471,0.00,5.00,-5.34,8,7.84,10.29,0
3.128,14.47,-9.20,0.40,0.00,0.00,1,38.00,16.33,38.36,2482,0.00,5.00,-5.34,8,10.20,9.61,0
3.201,14.59,-9.24,0.40,0.00,0.00,1,38.00,16.12,38.36,2468,0.00,5.00,-5.34,8,10.20,10.14,0
3.283,14.59,-9.26,0.39,0.00,0.00,1,38.00,15.92,38.36,2491,0.00,5.00,-5.34,8,11.37,11.48,0
3.343,14.47,-9.26,0.39,0.00,0.00,1,38.00,16.12,38.36,2507,0.00,5.00,-5.34,8,12.55,12.03,0
3.417,14.47,-9.30,0.39,0.00,0.00,1,38.00,16.19,38.36,2500,0.00,5.00,-5.34,8,12.16,12.27,0
3.493,14.59,-9.32,0.39,0.00,0.00,1,38.00,16.19,38.36,2504,0.00,5.00,-5.34,8,12.16,13.18,0
3.569,14.70,-9.34,0.39,0.00,0.00,1,38.00,16.19,38.36,2519,0.00,5.00,-5.34,8,13.33,13.18,0
3.635,14.70,-9.32,0.39,0.00,0.00,1,38.00,16.19,38.36,2510,0.00,5.00,-5.34,8,13.33,12.63,0
3.716,14.70,-9.32,0.39,0.00,0.00,1,38.00,16.26,38.36,2513,0.00,5.00,-5.34,8,12.55,12.83,0
3.789,14.70,-9.34,0.39,0.00,0.00,1,38.00,16.26,38.36,2527,0.00,5.00,-5.34,8,13.73,13.65,0
3.862,14.59,-9.32,0.39,0.00,0.00,1,38.00,16.19,38.36,2529,0.00,5.00,-5.34,8,13.73,13.80,0
3.936,14.59,-9.34,0.39,0.00,0.00,1,38.00,16.19,38.36,2506,0.00,5.00,-5.34,8,12.16,12.37,0
4.001,14.59,-9.34,0.38,0.00,0.00,1,38.00,16.05,38.36,2523,0.00,5.00,-5.34,8,13.33,13.61,0
4.092,14.36,-9.34,0.38,0.00,0.00,1,38.00,16.40,38.36,2560,0.00,5.00,-5.34,8,15.69,16.09,0
4.146,14.36,-9.36,0.38,0.00,0.00,1,38.00,16.26,38.36,2568,0.00,5.00,-5.34,8,16.08,16.30,0
4.225,14.36,-9.36,0.38,0.00,0.00,1,38.00,16.33,38.36,2594,0.00,5.00,-5.34,8,16.47,16.25,0
4.297,14.24,-9.42,0.38,0.00,0.00,1,38.00,16.19,38.36,2579,0.00,5.00,-5.34,8,16.08,16.77,0
4.366,14.47,-9.42,0.38,0.00,0.00,1,38.00,16.33,38.36,2578,0.00,5.00,-5.34,8,16.86,17.59,0
4.443,14.47,-9.42,0.38,0.00,0.00,1,38.00,16.33,38.36,2592,0.00,5.00,-5.34,8,17.65,17.59,0
4.516,14.36,-9.42,0.38,0.00,0.00,1,38.00,15.92,38.36,2591,0.00,5.00,-5.34,8,17.65,17.53,0
4.594,14.47,-9.42,0.38,0.00,0.00,1,38.00,16.26,38.36,2546,0.00,5.00,-5.34,8,14.90,14.28,0
4.659,14.47,-9.36,0.38,0.00,0.00,1,38.00,16.33,38.01,2488,0.00,5.00,-5.34,8,11.37,7.27,0
4.732,14.59,-9.24,0.40,0.00,0.00,1,38.00,16.26,38.01,2421,0.00,5.00,-5.34,8,7.45,0.00,0
4.820,14.70,-8.93,0.42,0.00,0.00,1,38.00,16.47,38.01,2271,0.00,5.00,-5.34,8,0.00,0.00,0
4.883,14.81,-8.60,0.44,0.00,0.00,1,38.00,16.74,38.36,2064,0.00,5.00,-5.34,8,0.00,0.00,0
4.969,14.36,-8.24,0.47,0.00,0.00,1,39.00,16.74,39.06,2010,0.00,5.00,-5.34,8,0.00,0.00,0
5.026,13.55,-7.91,0.49,0.00,0.00,1,39.00,17.02,39.06,1968,0.00,4.62,-5.34,9,0.00,0.00,0
5.114,13.32,-7.58,0.51,0.00,0.00,1,38.50,18.02,38.36,1946,0.00,3.83,-5.34,11,0.00,0.00,0
5.179,13.78,-6.83,0.57,0.00,0.00,1,38.00,22.02,37.66,1938,0.00,3.74,-4.62,12,0.00,0.00,0
5.245,14.24,-5.99,0.64,0.00,0.00,1,37.00,23.56,36.95,1946,0.00,2.48,-4.45,12,0.00,0.00,0
5.334,14.59,-5.59,0.68,0.00,0.00,1,36.50,23.67,36.95,1973,0.00,1.84,-4.35,12,0.00,0.00,0
5.393,14.81,-5.41,0.70,0.00,0.00,1,36.50,24.07,36.60,2003,0.00,1.65,-4.27,12,0.00,0.00,0
5.480,14.70,-5.38,0.70,0.00,0.00,1,36.50,23.97,36.60,2025,0.00,1.59,-4.27,12,0.00,0.00,0
5.544,14.59,-5.36,0.71,0.00,0.00,1,36.50,24.17,36.25,1992,0.00,1.53,-4.27,12,0.00,0.00,0
5.623,14.59,-5.22,0.72,0.00,0.00,1,35.50,23.97,35.20,1941,0.00,1.36,-4.29,12,0.00,0.00,0
5.702,14.59,-5.05,0.74,0.00,0.00,1,34.50,24.28,34.84,1896,0.00,1.19,-4.31,12,0.00,0.00,0
5.760,14.36,-4.91,0.75,0.00,0.00,1,34.00,23.97,34.14,1867,0.00,1.04,-4.31,12,0.00,0.00,0
5.837,14.24,-4.76,0.77,0.00,0.00,1,34.00,24.07,33.79,1820,0.00,0.80,-4.33,13,0.00,0.00,0
5.909,14.13,-4.64,0.79,0.00,0.00,1,33.00,24.28,33.09,1804,0.00,0.63,-4.33,12,0.00,0.00,0
5.975,14.36,-4.51,0.80,0.00,0.00,1,33.00,24.07,32.73,1764,0.00,0.43,-4.33,12,0.00,0.00,0
6.054,14.36,-4.41,0.82,0.00,0.00,1,32.50,23.87,32.38,1732,0.00,0.00,-4.25,13,0.00,0.11,0
6.137,14.36,-4.23,0.84,0.00,0.00,1,32.00,23.56,32.03,1624,0.00,0.00,-4.25,13,0.00,0.11,0
6.194,14.36,-4.04,0.85,0.00,0.00,1,32.00,23.46,30.62,1566,0.00,-0.11,-4.25,13,0.00,0.11,0
