Time (sec),AF Sens 1 Ratio (AFR),Boost (PSI),Calculated Load (g/rev),Feedback Knock (°),Fine Knock Learn (°),Gear Position (Gear),Ignition Timing (°),MAF (g/s),Primary Ign. (°),RPM (RPM),TD Burst (%),TD Continuous (%),Target Boost (PSI),Throttle Pos. (%),Wastegate Duty (%),Wastegate Max (%),AP Info:[AP3-SUB-001 v1.7.3.0-12522][2004 USDM Impreza WRX][Reflash: EXPERIMENTAL-TP-cobb2.ptm - Realtime: EXPERIMENTAL-TP-cobb2.ptm]
0.000,14.81,-9.36,0.33,0.00,0.00,6,11.00,6.88,11.99,1291,0.00,5.00,-5.34,0,0.00,0.00,0
0.076,14.81,-9.36,0.32,0.00,0.00,6,10.50,6.88,11.99,1291,0.00,5.00,-5.34,0,0.00,0.00,0
0.139,14.70,-9.38,0.32,0.00,0.00,6,13.00,6.88,11.99,1276,0.00,5.00,-5.34,0,0.00,0.00,0
0.228,14.59,-9.38,0.32,0.00,0.00,6,11.50,6.88,11.99,1284,0.00,5.00,-5.34,0,0.00,0.00,0
0.296,14.59,-9.38,0.33,0.00,0.00,6,14.00,6.96,11.99,1260,0.00,5.00,-5.34,0,0.00,0.00,0
0.365,14.70,-9.34,0.33,0.00,0.00,6,12.50,7.04,11.99,1275,0.00,5.00,-5.34,0,0.00,0.00,0
0.429,14.59,-9.32,0.33,0.00,0.00,6,12.50,6.99,11.99,1272,0.00,5.00,-5.34,0,0.00,0.00,0
0.491,14.70,-9.30,0.33,0.00,0.00,6,12.50,6.96,11.99,1270,0.00,5.00,-5.34,0,0.00,0.00,0
0.571,14.70,-9.30,0.33,0.00,0.00,6,12.00,7.04,11.99,1276,0.00,5.00,-5.34,0,0.00,0.00,0
0.641,14.81,-9.30,0.33,0.00,0.00,6,11.50,7.04,11.99,1291,0.00,5.00,-5.34,0,0.00,0.00,0
0.706,14.70,-9.30,0.33,0.00,0.00,6,10.50,7.04,11.99,1288,0.00,5.00,-5.34,0,0.00,0.00,0
0.785,14.70,-9.32,0.33,0.00,0.00,6,12.50,6.92,11.99,1272,0.00,5.00,-5.34,0,0.00,0.00,0
