Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Boost (PSI),Calculated Load (g/rev),Coolant Temp (° F),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (° F),MAF (g/s),MAF Volt. (V),RPM (RPM),TD Boost Error (PSI),TGV Map Ratio (mult),Target Boost (PSI),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-14227][2017 USDM WRX STI COBB Custom Features][Reflash: Stage1 93 v342 Boost Select.ptm - Realtime: Stage1 93 v342 Boost Select.ptm]
1.046,-3.12,-7.81,14.59,0.0,-8.82,0.46,82,1.000,0.00,0.00,10.50,3.52,61,11.56,1.76,1500,-0.56,0.000,-9.71,8,0.00,0
1.152,-3.12,-7.81,14.70,0.0,-8.82,0.47,82,1.000,0.00,0.00,10.00,3.56,61,11.25,1.74,1505,-0.52,0.000,-9.71,8,0.00,0
1.255,-3.12,-7.81,14.59,0.0,-8.84,0.46,82,1.000,0.00,0.00,10.50,3.56,61,11.07,1.74,1518,-0.54,0.000,-9.71,8,0.00,0
1.365,-2.34,-7.81,14.59,0.0,-8.84,0.45,82,1.000,0.00,0.00,10.00,3.52,61,10.63,1.72,1502,-0.51,0.000,-9.69,8,0.00,0
1.476,-2.34,-7.81,14.59,0.0,-8.88,0.45,82,1.000,0.00,0.00,10.50,3.54,61,11.19,1.74,1501,-0.48,0.000,-9.69,8,0.00,0
1.577,-2.34,-7.81,14.70,0.0,-8.88,0.45,82,1.000,0.00,0.00,11.00,3.54,61,11.01,1.74,1510,-0.50,0.000,-9.69,8,0.00,0
1.687,-2.34,-7.81,14.81,0.0,-8.88,0.45,82,1.000,0.00,0.00,11.00,3.51,61,10.94,1.74,1496,-0.47,0.000,-9.67,8,0.00,0
1.791,-2.34,-7.81,14.81,0.0,-8.88,0.45,82,1.000,0.00,0.00,11.00,3.54,61,10.94,1.74,1496,-0.44,0.000,-9.67,8,0.00,0
1.896,-2.34,-7.81,14.81,0.0,-8.89,0.45,82,1.000,0.00,0.00,11.00,3.55,61,11.25,1.74,1514,-0.46,0.000,-9.67,8,0.00,0
2.006,-1.56,-7.81,14.81,0.0,-8.90,0.45,82,1.000,0.00,0.00,12.00,3.51,61,11.13,1.74,1498,-0.43,0.000,-9.67,8,0.00,0
2.115,-1.56,-7.81,14.81,0.0,-8.91,0.45,82,1.000,0.00,0.00,10.50,3.56,61,10.82,1.74,1504,-0.42,0.000,-9.67,8,0.00,0
2.215,-1.56,-7.81,14.70,0.0,-8.92,0.45,82,1.000,0.00,0.00,12.00,3.54,61,11.07,1.74,1509,-0.42,0.000,-9.67,8,0.00,0
2.327,-1.56,-7.81,14.70,0.0,-8.92,0.45,82,1.000,0.00,0.00,11.50,3.53,61,10.76,1.74,1505,-0.42,0.000,-9.65,8,0.00,0
2.428,-0.78,-7.81,14.59,0.0,-8.92,0.45,82,1.000,0.00,0.00,10.50,3.57,61,10.52,1.72,1512,-0.39,0.000,-9.67,8,0.00,0
2.542,-0.78,-7.81,14.59,0.0,-8.95,0.44,82,1.000,0.00,0.00,11.50,3.56,61,10.76,1.74,1515,-0.39,0.000,-9.65,8,0.00,0
2.646,-0.78,-7.81,14.59,0.0,-8.96,0.44,82,1.000,0.00,0.00,11.50,3.53,61,10.94,1.74,1510,-0.35,0.000,-9.65,8,0.00,0
2.749,-0.78,-7.81,14.59,0.0,-8.96,0.45,82,1.000,0.00,0.00,12.00,3.53,61,10.76,1.72,1493,-0.33,0.000,-9.63,8,0.00,0
2.862,-0.78,-7.81,14.70,0.0,-8.96,0.44,84,1.000,0.00,0.00,12.00,3.56,61,11.01,1.74,1518,-0.34,0.000,-9.63,8,0.00,0
2.965,-0.78,-7.81,14.81,0.0,-8.96,0.44,84,1.000,0.00,0.00,12.00,3.53,61,10.63,1.72,1516,-0.33,0.000,-9.63,8,0.00,0
3.075,-0.78,-7.81,14.70,0.0,-8.96,0.44,84,1.000,0.00,0.00,11.50,3.53,61,10.76,1.74,1505,-0.31,0.000,-9.63,8,0.00,0
3.180,-0.78,-7.81,14.70,0.0,-8.96,0.44,84,1.000,0.00,0.00,11.00,3.57,61,10.94,1.72,1522,-0.32,0.000,-9.63,8,0.00,0
3.280,-0.78,-7.81,14.70,0.0,-8.99,0.44,84,1.000,0.00,0.00,11.50,3.55,61,10.76,1.72,1527,-0.30,0.000,-9.61,8,0.00,0
3.395,0.00,-7.81,14.59,0.0,-9.01,0.44,84,1.000,0.00,0.00,11.00,3.54,61,10.88,1.74,1508,-0.26,0.000,-9.61,8,0.00,0
3.494,0.00,-7.81,14.59,0.0,-9.01,0.44,84,1.000,0.00,0.00,12.00,3.55,61,10.82,1.72,1505,-0.26,0.000,-9.59,8,0.00,0
3.604,0.00,-7.81,14.70,0.0,-9.01,0.44,84,1.000,0.00,0.00,11.50,3.59,61,10.76,1.74,1530,-0.26,0.000,-9.61,8,0.00,0
3.716,0.00,-7.81,14.59,0.0,-9.04,0.44,84,1.000,0.00,0.00,12.00,3.53,61,10.69,1.72,1504,-0.23,0.000,-9.61,8,0.00,0
3.819,0.00,-7.81,14.59,0.0,-9.02,0.44,84,1.000,0.00,0.00,12.00,3.56,61,10.82,1.72,1507,-0.24,0.000,-9.59,8,0.00,0
3.923,0.00,-7.81,14.59,0.0,-9.01,0.43,84,1.000,0.00,0.00,12.50,3.56,61,10.63,1.72,1519,-0.24,0.000,-9.59,8,0.00,0
4.034,0.00,-7.81,14.47,0.0,-9.02,0.43,84,1.000,0.00,0.00,12.50,3.51,61,10.52,1.72,1498,-0.20,0.000,-9.59,8,0.00,0
4.139,0.00,-7.81,14.59,0.0,-9.02,0.43,84,1.000,0.00,0.00,12.00,3.55,61,11.01,1.74,1504,-0.21,0.000,-9.57,8,0.00,0
4.244,0.00,-7.81,14.70,0.0,-9.05,0.44,84,1.000,0.00,0.00,12.50,3.58,61,10.41,1.72,1526,-0.19,0.000,-9.57,8,0.00,0
4.348,0.00,-7.81,14.70,0.0,-9.06,0.43,84,1.000,0.00,0.00,11.50,3.25,61,10.57,1.72,1531,-0.15,0.000,-9.59,8,0.00,0
4.462,0.00,-7.81,14.59,0.0,-9.10,0.43,84,1.000,0.00,0.00,11.50,3.23,61,10.41,1.70,1514,-0.14,0.000,-9.57,8,0.00,0
4.564,0.00,-7.81,14.59,0.0,-9.11,0.42,84,1.000,0.00,0.00,12.00,3.24,61,10.52,1.72,1520,-0.12,0.000,-9.57,8,0.00,0
4.667,0.00,-7.81,14.59,0.0,-9.11,0.43,84,1.000,0.00,0.00,13.00,3.22,61,10.30,1.72,1521,-0.12,0.000,-9.55,8,0.00,0
4.779,0.00,-7.81,14.59,0.0,-9.11,0.42,84,1.000,0.00,0.00,12.00,3.23,61,10.52,1.72,1515,-0.12,0.000,-9.55,8,0.00,0
4.883,0.00,-7.81,14.59,0.0,-9.11,0.43,84,1.000,0.00,0.00,14.00,3.52,61,10.36,1.72,1495,-0.08,0.000,-9.55,8,0.00,0
4.996,0.00,-7.81,14.70,0.0,-9.10,0.43,84,1.000,0.00,0.00,13.00,3.56,61,10.51,1.72,1519,-0.15,0.000,-9.53,8,0.00,0
5.100,0.00,-7.81,14.70,0.0,-9.09,0.43,84,1.000,0.00,0.00,12.50,3.54,61,10.69,1.72,1510,-0.10,0.000,-9.53,8,0.00,0
5.204,0.00,-7.81,14.70,0.0,-9.11,0.43,84,1.000,0.00,0.00,12.50,3.57,61,10.36,1.72,1512,-0.10,0.000,-9.53,8,0.00,0
5.307,0.00,-7.81,14.70,0.0,-9.11,0.42,84,1.000,0.00,0.00,12.50,3.59,61,10.30,1.70,1531,-0.78,0.000,-9.53,8,0.00,0
5.419,0.78,-7.81,14.70,0.0,-9.11,0.42,84,1.000,0.00,0.00,14.00,3.53,61,10.51,1.72,1514,-0.76,0.000,-10.19,8,0.00,0
5.521,0.78,-7.81,14.70,0.0,-9.11,0.43,84,1.000,0.00,0.00,13.00,3.56,61,10.76,1.72,1510,-0.75,0.000,-10.19,8,0.00,0
5.635,0.78,-7.81,14.70,0.0,-9.10,0.43,84,1.000,0.00,0.00,13.50,3.57,61,10.57,1.72,1521,-0.76,0.000,-10.19,8,0.00,0
5.736,0.78,-7.81,14.70,0.0,-9.11,0.43,84,1.000,0.00,0.00,14.00,3.53,61,10.30,1.70,1518,-0.75,0.000,-10.19,8,0.00,0
5.840,0.78,-7.81,14.70,0.0,-9.11,0.42,86,1.000,0.00,0.00,12.50,3.56,61,10.30,1.72,1516,-0.75,0.000,-10.17,8,0.00,0
5.951,0.78,-7.81,14.70,0.0,-9.12,0.42,86,1.000,0.00,0.00,13.50,3.25,61,10.20,1.70,1524,-0.04,0.000,-10.17,8,0.00,0
6.055,0.78,-7.81,14.70,0.0,-9.13,0.42,86,1.000,0.00,0.00,14.00,3.21,61,10.46,1.72,1518,-0.03,0.000,-9.49,8,0.00,0
6.159,0.78,-7.81,14.70,0.0,-9.16,0.42,86,1.000,0.00,0.00,13.50,3.20,61,10.41,1.72,1502,-0.01,0.000,-9.48,8,0.00,0
6.270,0.78,-7.81,14.59,0.0,-9.16,0.42,86,1.000,0.00,0.00,13.50,3.25,61,7.69,1.70,1514,0.01,0.000,-9.48,8,0.00,0
6.375,0.78,-7.81,14.59,0.0,-9.16,0.42,86,1.000,0.00,0.00,13.50,3.27,61,10.20,1.70,1531,-0.01,0.000,-9.49,8,0.00,0
6.486,0.78,-7.81,14.59,0.0,-9.17,0.42,86,1.000,0.00,0.00,13.00,3.26,61,10.52,1.70,1526,0.03,0.000,-9.48,8,0.00,0
6.589,1.56,-7.81,14.59,0.0,-9.21,0.41,86,1.000,0.00,0.00,13.50,3.25,61,10.46,1.70,1510,0.06,0.000,-9.48,8,0.00,0
6.699,1.56,-7.81,14.59,0.0,-9.21,0.42,86,1.000,0.00,0.00,14.50,3.25,61,10.46,1.72,1524,0.07,0.000,-9.48,8,0.00,0
6.800,1.56,-7.81,14.59,0.0,-9.21,0.42,86,1.000,0.00,0.00,14.50,3.22,61,10.36,1.70,1519,0.08,0.000,-9.48,8,0.00,0
6.921,0.78,-7.81,14.59,0.0,-9.21,0.42,86,1.000,0.00,0.00,13.50,3.24,61,10.25,1.68,1517,0.08,0.000,-9.48,8,0.00,0
7.012,1.56,-7.81,14.59,0.0,-9.21,0.41,86,1.000,0.00,0.00,13.50,3.26,61,10.20,1.70,1528,0.07,0.000,-9.48,8,0.00,0
7.126,1.56,-7.81,14.59,0.0,-9.22,0.41,86,1.000,0.00,0.00,13.50,3.25,61,10.25,1.72,1538,0.10,0.000,-9.46,8,0.00,0
7.227,1.56,-7.81,14.59,0.0,-9.26,0.41,86,1.000,0.00,0.00,13.50,3.24,61,10.05,1.70,1519,0.14,0.000,-9.46,8,0.00,0
7.341,1.56,-7.81,14.59,0.0,-9.26,0.41,86,1.000,0.00,0.00,14.00,3.24,61,10.20,1.70,1513,0.15,0.000,-9.44,8,0.00,0
7.445,1.56,-7.81,14.59,0.0,-9.26,0.41,86,1.000,0.00,0.00,14.50,3.26,61,10.36,1.70,1530,0.15,0.000,-9.46,8,0.00,0
7.546,1.56,-7.81,14.59,0.0,-9.26,0.41,86,1.000,0.00,0.00,15.00,3.22,61,10.36,1.72,1524,0.15,0.000,-9.46,8,0.00,0
7.660,1.56,-7.81,14.59,3.5,-9.26,0.41,86,1.000,0.00,0.00,15.50,3.25,61,10.41,1.74,1522,0.15,0.000,-9.44,15,0.00,0
7.760,1.56,-7.81,14.59,9.4,-8.24,0.59,86,1.000,0.00,0.00,31.00,9.96,61,30.99,2.30,1643,-2.80,0.000,-8.59,15,0.00,0
7.871,1.56,-7.81,14.36,10.2,-5.24,0.78,86,1.000,0.00,0.00,35.50,8.09,61,25.51,2.24,1927,-3.65,0.000,-9.36,19,0.00,0
7.977,-3.91,-7.03,13.21,11.8,-4.80,0.85,86,1.000,0.00,0.00,33.50,11.48,61,35.21,2.44,2270,-4.24,0.000,-9.15,20,0.00,0
8.086,-5.47,-7.03,13.67,9.0,-4.07,0.95,86,1.000,0.00,0.00,35.50,10.41,61,31.54,2.32,2568,-4.35,0.000,-9.26,11,0.00,0
8.187,-7.81,-7.03,13.55,0.0,-7.07,0.70,86,1.000,0.00,0.00,47.50,4.06,61,11.56,1.74,2701,-0.04,0.000,-9.17,7,0.00,0
8.297,-9.38,-7.81,12.98,0.0,-9.34,0.40,86,1.000,0.00,0.00,33.50,3.34,61,9.38,1.64,2606,0.82,0.000,-9.17,7,0.00,0
8.406,-11.72,-7.81,12.40,0.0,-10.40,0.28,86,1.000,0.00,0.00,30.50,0.00,61,8.44,1.62,2380,1.65,0.000,-9.20,7,0.00,0
8.510,0.00,-7.81,12.06,0.4,-10.72,0.25,86,1.000,0.00,0.00,35.00,2.71,61,8.83,1.64,2050,1.83,0.000,-9.22,7,0.00,0
8.615,0.00,-7.81,12.17,0.4,-10.40,0.26,86,1.000,0.00,0.00,37.00,2.78,61,9.74,1.68,1848,1.56,0.000,-9.15,8,0.00,0
8.717,0.00,-7.81,12.17,0.8,-10.11,0.30,86,1.000,0.00,0.00,40.50,2.89,61,10.10,1.70,1674,1.00,0.000,-9.26,9,0.00,0
8.827,0.00,-7.81,12.40,0.4,-9.90,0.36,88,1.000,0.00,0.00,42.00,3.24,61,13.09,1.82,1517,0.31,0.000,-9.46,9,0.00,0
8.931,0.00,-7.81,12.86,0.4,-8.92,0.46,88,1.000,0.00,0.00,41.50,3.89,61,13.16,1.84,1402,-0.17,0.000,-9.26,9,0.00,0
9.045,0.00,-7.81,13.90,0.4,-8.26,0.54,88,1.000,0.00,0.00,42.50,4.21,61,13.62,1.82,1317,-0.74,0.000,-9.22,9,0.00,0
9.148,0.00,-7.81,14.81,0.4,-7.78,0.58,88,1.000,0.00,0.00,43.50,4.38,61,13.35,1.84,1288,-1.31,0.000,-9.15,9,0.00,0
9.250,0.00,-7.81,15.16,0.0,-7.35,0.62,88,1.000,0.00,0.00,44.50,4.09,61,13.49,1.82,1278,-1.51,0.000,-9.11,9,0.00,0
9.360,0.00,-7.81,15.04,0.0,-7.12,0.64,88,1.000,0.00,0.00,43.50,4.09,61,15.19,1.78,1269,-1.70,0.000,-9.11,8,0.00,0
9.463,0.00,-7.81,15.04,0.0,-7.23,0.62,88,1.000,0.00,0.00,40.50,4.10,61,11.07,1.72,1281,-1.40,0.000,-9.11,8,0.00,0
9.576,0.00,-7.81,14.93,0.0,-7.54,0.56,88,1.000,0.00,0.00,37.50,3.10,61,9.64,1.66,1322,-1.14,0.000,-9.13,8,0.00,0
9.679,0.00,-7.81,14.59,0.0,-8.02,0.52,88,1.000,0.00,0.00,34.00,3.49,61,9.74,1.68,1372,-0.67,0.000,-9.15,8,0.00,0
9.791,0.00,-7.81,14.24,0.0,-8.38,0.48,88,1.000,0.00,0.00,30.00,3.49,61,10.05,1.70,1488,-0.41,0.000,-9.24,8,0.00,0
9.895,-0.78,-7.81,14.24,0.0,-8.66,0.44,88,1.000,0.00,0.00,22.00,3.34,61,10.76,1.72,1590,-0.31,0.000,-9.36,8,0.00,0
9.998,-0.78,-7.81,14.24,0.0,-8.94,0.43,88,1.000,0.00,0.00,18.50,3.47,61,10.69,1.72,1624,-0.08,0.000,-9.40,8,0.00,0
10.113,-0.78,-7.81,14.36,0.0,-9.09,0.41,88,1.000,0.00,0.00,16.50,3.52,61,10.41,1.72,1649,0.17,0.000,-9.36,8,0.00,0
10.218,-0.78,-7.81,14.47,0.0,-9.30,0.39,88,1.000,0.00,0.00,16.00,3.16,61,10.20,1.70,1648,0.28,0.000,-9.36,8,0.00,0
10.321,-0.78,-7.81,14.59,0.0,-9.41,0.38,88,1.000,0.00,0.00,18.00,3.16,61,10.36,1.70,1638,0.40,0.000,-9.34,8,0.00,0
10.422,-0.78,-7.81,14.59,0.0,-9.45,0.38,88,1.000,0.00,0.00,20.00,3.13,61,10.25,1.70,1617,0.41,0.000,-9.36,8,0.00,0
10.531,-0.78,-7.81,14.70,0.0,-9.45,0.38,88,1.000,0.00,0.00,20.50,3.12,61,10.25,1.72,1627,0.43,0.000,-9.36,8,0.00,0
10.635,-0.78,-7.81,14.81,0.0,-9.47,0.38,88,1.000,0.00,0.00,22.00,3.09,61,10.10,1.72,1611,0.41,0.000,-9.38,8,0.00,0
10.746,-0.78,-7.81,14.93,0.0,-9.46,0.38,88,1.000,0.00,0.00,21.00,3.08,61,10.36,1.72,1609,0.42,0.000,-9.38,8,0.00,0
10.848,0.00,-7.81,14.93,0.0,-9.46,0.38,88,1.000,0.00,0.00,20.00,3.07,61,10.00,1.70,1612,0.41,0.000,-9.38,8,0.00,0
10.962,0.00,-7.81,15.04,0.0,-9.47,0.38,88,1.000,0.00,0.00,19.50,3.06,61,10.20,1.70,1595,-0.27,0.000,-10.07,8,0.00,0
11.062,0.78,-7.81,15.04,0.0,-9.46,0.38,88,1.000,0.00,0.00,19.50,3.09,61,10.10,1.70,1598,-0.27,0.000,-10.06,8,0.00,0
11.168,0.78,-7.81,15.04,0.0,-9.50,0.38,88,1.000,0.00,0.00,19.50,3.10,61,9.89,1.70,1604,-0.22,0.000,-10.06,8,0.00,0
11.279,0.78,-7.81,14.93,0.0,-9.50,0.37,88,1.000,0.00,0.00,20.50,3.07,61,10.00,1.70,1598,-0.23,0.000,-10.06,8,0.00,0
11.384,1.56,-7.81,14.93,0.0,-9.51,0.37,88,1.000,0.00,0.00,20.50,3.08,61,9.94,1.70,1604,-0.21,0.000,-10.04,8,0.00,0
11.495,1.56,-7.81,14.93,0.0,-9.51,0.38,88,1.000,0.00,0.00,21.00,3.04,61,10.00,1.68,1592,0.49,0.000,-9.34,8,0.00,0
11.595,1.56,-7.81,14.81,0.0,-9.51,0.38,88,1.000,0.00,0.00,20.50,3.36,61,9.94,1.70,1574,0.51,0.000,-9.32,8,0.00,0
11.707,2.34,-7.81,14.81,0.0,-9.51,0.38,88,1.000,0.00,0.00,21.00,3.35,61,9.94,1.68,1556,0.55,0.000,-9.32,8,0.00,0
11.810,2.34,-7.81,14.81,38.4,-9.51,0.45,88,1.000,0.00,0.00,24.00,8.36,61,41.74,2.94,1567,5.24,0.240,-4.49,92,0.00,0
11.921,3.12,-7.81,14.81,7.5,-0.42,1.10,88,1.000,0.00,0.00,28.00,14.43,61,39.56,2.50,2058,-8.26,0.500,-4.49,20,0.00,0
12.025,4.69,-7.03,14.47,0.0,-3.62,0.91,90,1.000,0.00,0.00,38.50,8.57,61,14.15,1.82,2510,-1.79,0.760,-9.07,10,0.00,0
12.132,0.00,-7.81,13.21,4.3,-7.79,0.52,90,1.000,0.00,0.00,51.00,5.08,61,14.68,1.88,2628,-0.67,1.000,-9.05,13,0.00,0
12.242,-7.03,-7.81,12.17,7.8,-8.67,0.49,90,1.000,0.00,0.00,51.50,7.75,61,25.66,2.30,2610,-0.55,1.000,-9.01,16,0.00,0
12.344,-9.38,-7.81,12.86,7.8,-7.21,0.70,90,1.000,0.00,0.00,50.50,8.31,61,29.85,2.32,2596,-1.84,1.000,-9.01,17,0.00,0
12.455,-6.25,-7.03,14.01,7.1,-6.73,0.79,90,1.000,0.00,0.00,49.50,9.49,61,28.83,2.28,2600,-2.05,1.000,-9.01,15,0.00,0
12.554,0.00,-7.03,15.50,5.9,-7.07,0.73,90,1.000,0.00,0.00,51.00,7.71,61,22.73,2.14,2590,-1.21,1.000,-9.01,13,0.00,0
12.666,0.00,-7.03,14.47,6.3,-7.92,0.65,90,1.000,0.00,0.00,52.00,7.98,61,24.67,2.20,2462,-0.96,1.000,-9.03,15,0.00,0
12.770,0.00,-7.03,13.78,7.1,-7.61,0.68,90,1.000,0.00,0.00,52.00,8.54,61,27.51,2.28,2355,-1.26,1.000,-9.09,16,0.00,0
12.875,0.78,-7.03,14.13,7.1,-6.82,0.75,90,1.000,0.00,0.00,50.00,8.22,61,28.22,2.28,2267,-2.08,1.000,-9.05,15,0.00,0
12.986,2.34,-6.25,14.24,6.3,-6.48,0.75,90,1.000,0.00,0.00,48.50,7.87,61,24.41,2.18,2169,-2.03,1.000,-8.99,14,0.00,0
13.097,2.34,-6.25,14.01,6.7,-6.66,0.71,90,1.000,0.00,0.00,47.00,7.53,61,24.05,2.18,2048,-1.95,1.000,-8.93,14,0.00,0
13.201,1.56,-6.25,13.67,6.7,-6.44,0.72,90,1.000,0.00,0.00,45.00,7.08,61,24.40,2.18,1949,-2.34,1.000,-8.89,14,0.00,0
13.305,1.56,-6.25,13.78,6.7,-6.04,0.74,90,1.000,0.00,0.00,44.00,7.17,61,22.73,2.12,1842,-2.77,1.000,-8.99,13,0.00,0
13.415,2.34,-6.25,14.01,6.3,-5.99,0.74,90,1.000,0.00,0.00,43.50,6.52,61,21.51,2.10,1771,-2.72,1.000,-9.09,13,0.00,0
13.517,2.34,-3.91,14.01,6.3,-6.09,0.74,90,1.000,0.00,0.00,42.50,6.52,61,21.11,2.08,1698,-2.77,1.000,-9.11,13,0.00,0
13.621,2.34,-3.91,13.90,6.3,-5.96,0.75,90,1.000,0.00,0.00,41.50,6.29,61,21.84,2.10,1639,-3.07,1.000,-9.18,13,0.00,0
13.730,3.12,-3.91,14.13,6.7,-5.68,0.78,90,1.000,0.00,0.00,41.00,6.58,61,21.86,2.10,1608,-3.26,1.000,-9.24,14,0.00,0
13.835,4.69,-3.91,14.36,6.3,-5.47,0.81,90,1.000,0.00,0.00,40.50,6.92,61,21.76,2.10,1614,-3.51,1.000,-9.24,13,0.00,0
13.949,6.25,-3.91,14.47,6.7,-5.36,0.81,90,1.000,0.00,0.00,40.50,7.01,61,21.35,2.10,1643,-3.41,1.000,-9.24,13,0.00,0
14.053,7.03,-3.91,14.36,6.7,-5.53,0.79,90,1.000,0.00,0.00,41.00,7.10,61,21.27,2.06,1665,-3.31,1.000,-9.18,13,0.00,0
14.159,7.03,-3.91,13.90,6.3,-5.55,0.78,90,1.000,0.00,0.00,41.50,6.81,61,21.03,2.08,1681,-3.26,1.000,-9.18,13,0.00,0
14.260,7.03,-3.91,13.78,6.3,-5.80,0.76,90,1.000,0.00,0.00,42.00,6.48,61,19.26,2.04,1688,-2.83,1.000,-9.17,12,0.00,0
14.365,5.47,-3.91,13.55,6.7,-6.13,0.73,90,1.000,0.00,0.00,42.00,6.07,61,19.82,2.04,1674,-2.66,1.000,-9.15,12,0.00,0
14.476,3.91,-3.91,13.21,6.7,-6.25,0.72,90,1.000,0.00,0.00,42.00,5.96,61,19.03,2.02,1651,-2.55,1.000,-9.17,11,0.00,0
14.586,2.34,-3.91,13.21,6.7,-6.49,0.71,90,1.000,0.00,0.00,42.00,5.49,61,17.19,1.96,1613,-2.23,1.000,-9.18,11,0.00,0
14.688,1.56,-3.91,13.32,6.7,-6.72,0.68,90,1.000,0.00,0.00,41.50,5.31,61,16.83,1.94,1557,-2.09,1.000,-9.20,11,0.00,0
14.792,0.00,-3.91,13.21,6.7,-6.91,0.67,90,1.000,0.00,0.00,40.50,4.80,61,16.62,1.94,1473,-1.89,0.928,-9.15,11,0.00,0
14.907,-2.34,-3.91,13.44,7.8,-6.77,0.71,90,1.000,0.00,0.00,38.50,5.68,61,19.42,2.04,1393,-2.43,0.824,-9.05,13,0.00,0
15.007,-3.12,-3.91,13.78,8.6,-5.86,0.80,90,1.000,0.00,0.00,33.00,6.26,61,20.22,2.08,1334,-2.94,0.712,-8.99,13,0.00,0
15.121,-3.91,-3.91,14.13,8.6,-5.08,0.88,91,1.000,0.00,0.00,29.50,6.10,61,19.74,2.04,1300,-3.77,0.608,-8.91,13,0.00,0
15.225,-4.69,-3.91,13.90,8.6,-4.54,0.90,91,1.000,0.00,0.00,28.00,5.61,61,18.88,2.02,1334,-4.13,0.504,-8.89,13,0.00,0
15.326,-7.81,-3.91,13.55,9.0,-4.51,0.89,91,1.000,0.00,0.00,28.00,5.59,61,18.66,2.02,1382,-4.08,0.392,-8.91,13,0.00,0
15.432,-8.59,-3.91,13.78,9.0,-4.64,0.87,91,1.000,0.00,0.00,28.50,5.48,61,19.74,2.06,1447,-4.02,0.288,-8.99,13,0.00,0
15.546,-9.38,-3.91,14.24,9.0,-4.72,0.87,91,1.000,0.00,0.00,28.50,5.70,61,20.47,2.08,1480,-3.97,0.184,-9.05,13,0.00,0
15.649,-9.38,-3.91,14.36,9.0,-4.80,0.86,91,1.000,0.00,0.00,28.50,5.90,61,20.95,2.08,1535,-3.94,0.080,-9.07,13,0.00,0
15.754,-9.38,-3.91,14.59,9.8,-4.91,0.84,91,1.000,0.00,0.00,29.00,6.05,61,21.68,2.10,1596,-3.89,0.000,-9.13,14,0.00,0
15.864,-8.59,-3.91,14.70,10.6,-4.90,0.84,91,1.000,0.00,0.00,29.00,6.27,61,22.99,2.16,1655,-3.95,0.000,-9.17,15,0.00,0
15.968,-7.81,-3.91,14.70,10.6,-4.71,0.85,91,1.000,0.00,0.00,28.50,6.48,61,24.58,2.18,1700,-4.12,0.000,-9.11,15,0.00,0
16.072,-7.03,-3.91,14.93,10.6,-4.61,0.85,91,1.000,0.00,0.00,29.50,6.70,61,24.76,2.20,1767,-4.08,0.000,-9.07,16,0.00,0
