Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Boost (PSI),Calculated Load (g/rev),Coolant Temp (° F),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (° F),MAF (g/s),MAF Volt. (V),RPM (RPM),TD Boost Error (PSI),TGV Map Ratio (mult),Target Boost (PSI),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-14227][2017 USDM WRX STI COBB Custom Features][Reflash: Stage1 93 v342 Boost Select.ptm - Realtime: Stage1 93 v342 Boost Select.ptm]
0.000,-4.69,-7.81,14.70,0.0,-8.77,0.47,82,1.000,0.00,0.00,9.50,3.53,61,11.32,1.76,1515,-0.66,0.000,-9.77,9,0.00,0
0.120,-3.91,-7.81,14.70,0.0,-8.77,0.47,82,1.000,0.00,0.00,9.00,3.51,61,11.50,1.76,1497,-0.66,0.000,-9.75,8,0.00,0
0.194,-3.91,-7.81,14.81,0.0,-8.77,0.47,82,1.000,0.00,0.00,9.50,3.55,61,11.25,1.76,1513,-0.66,0.000,-9.75,8,0.00,0
0.306,-3.91,-7.81,14.81,0.0,-8.76,0.47,82,1.000,0.00,0.00,9.50,3.54,61,11.32,1.76,1517,-0.66,0.000,-9.75,8,0.00,0
0.414,-3.91,-7.81,14.81,0.0,-8.77,0.47,82,1.000,0.00,0.00,9.00,3.54,61,11.32,1.76,1508,-0.64,0.000,-9.75,8,0.00,0
0.534,-3.12,-7.81,14.81,0.0,-8.81,0.47,82,1.000,0.00,0.00,9.50,3.55,61,11.38,1.74,1498,-0.60,0.000,-9.75,8,0.00,0
0.626,-3.12,-7.81,14.70,0.0,-8.79,0.47,82,1.000,0.00,0.00,10.50,3.52,61,11.32,1.76,1513,-0.62,0.000,-9.73,8,0.00,0
0.729,-3.12,-7.81,14.70,0.0,-8.79,0.47,82,1.000,0.00,0.00,9.00,3.54,61,11.32,1.74,1510,-0.59,0.000,-9.73,8,0.00,0
0.832,-3.12,-7.81,14.70,0.0,-8.82,0.46,82,1.000,0.00,0.00,10.00,3.55,61,11.19,1.74,1508,-0.57,0.000,-9.73,8,0.00,0
0.941,-3.12,-7.81,14.59,0.0,-8.82,0.46,82,1.000,0.00,0.00,10.50,3.54,61,11.19,1.74,1510,-0.57,0.000,-9.71,8,0.00,0
