Time (sec),AF Sens 1 Ratio (AFR),Boost (PSI),Calculated Load (g/rev),Feedback Knock (°),Fine Knock Learn (°),Gear Position (Gear),Ignition Timing (°),MAF (g/s),Primary Ign. (°),RPM (RPM),TD Burst (%),TD Continuous (%),Target Boost (PSI),Throttle Pos. (%),Wastegate Duty (%),Wastegate Max (%),AP Info:[AP3-SUB-001 v1.7.3.0-12522][2004 USDM Impreza WRX][Reflash: EXPERIMENTAL-TP-cobb2.ptm - Realtime: EXPERIMENTAL-TP-cobb2.ptm]
0.000,24.00,-11.47,0.11,0.00,0.00,3,11.50,4.84,11.99,2611,0.00,5.00,-5.45,0,0.00,19.29,0
0.069,24.00,-11.51,0.11,0.00,0.00,3,11.50,4.88,11.99,2591,0.00,5.00,-5.41,0,0.00,18.24,0
0.146,23.54,-11.49,0.11,0.00,0.00,3,11.50,4.84,11.99,2598,0.00,5.00,-5.41,0,0.00,16.88,0
0.201,24.23,-11.52,0.11,0.00,0.00,3,11.50,4.84,11.99,2545,0.00,5.00,-5.41,0,0.00,14.96,0
0.287,23.89,-11.51,0.11,0.00,0.00,3,11.50,4.84,11.99,2524,0.00,5.00,-5.41,0,0.00,13.69,0
0.342,24.12,-11.47,0.11,0.00,0.00,3,11.50,4.84,11.99,2529,0.00,5.00,-5.41,0,0.00,14.02,0
0.429,23.66,-11.49,0.12,0.00,0.00,3,11.50,4.84,11.99,2506,0.00,5.00,-5.41,0,0.00,12.62,0
0.501,24.00,-11.49,0.12,0.00,0.00,3,11.50,4.78,11.99,2474,0.00,5.00,-5.41,0,0.00,10.65,0
0.567,23.89,-11.47,0.12,0.00,0.00,3,11.50,4.78,11.99,2452,0.00,5.00,-5.41,0,0.00,9.27,0
0.631,24.00,-11.49,0.12,0.00,0.00,3,11.50,4.71,11.99,2458,0.00,5.00,-5.41,0,0.00,9.66,0
0.695,23.77,-11.47,0.12,0.00,0.00,3,11.50,4.75,11.99,2418,0.00,5.00,-5.41,0,0.00,7.24,0
0.771,24.00,-11.45,0.12,0.00,0.00,3,11.50,4.78,11.99,2404,0.00,5.00,-5.41,0,0.00,5.91,0
0.844,24.00,-11.45,0.12,0.00,0.00,3,11.50,4.71,11.99,2397,0.00,5.00,-5.41,0,0.00,4.20,0
0.922,24.35,-11.45,0.12,0.00,0.00,3,11.50,4.71,11.99,2369,0.00,5.00,-5.41,0,0.00,4.02,0
0.981,23.66,-11.41,0.12,0.00,0.00,3,11.50,4.71,11.99,2366,0.00,5.00,-5.41,0,0.00,1.91,0
1.056,24.23,-11.41,0.12,0.00,0.00,3,11.50,4.65,11.99,2311,0.00,5.00,-5.41,0,0.00,1.95,0
1.125,23.89,-11.41,0.12,0.00,0.00,3,11.50,4.65,11.99,2315,0.00,5.00,-5.41,0,0.00,0.00,0
1.204,23.89,-11.39,0.12,0.00,0.00,3,11.50,4.68,11.99,2278,0.00,5.00,-5.41,0,0.00,0.00,0
1.268,23.89,-11.39,0.12,0.00,0.00,3,11.50,4.65,11.99,2281,0.00,5.00,-5.41,0,0.00,0.00,0
1.349,24.12,-11.37,0.12,0.00,0.00,3,11.50,4.62,11.99,2243,0.00,5.00,-5.41,0,0.00,0.00,0
1.413,24.12,-11.35,0.12,0.00,0.00,3,11.50,4.59,11.99,2231,0.00,5.00,-5.41,0,0.00,0.00,0
1.478,23.77,-11.35,0.12,0.00,0.00,3,11.50,4.59,11.99,2235,0.00,5.00,-5.41,0,0.00,0.00,0
1.551,23.77,-11.29,0.12,0.00,0.00,3,11.50,4.62,11.99,2201,0.00,5.00,-5.41,0,0.00,0.00,0
1.620,23.66,-11.27,0.12,0.00,0.00,3,11.50,4.59,11.99,2202,0.00,5.00,-5.41,0,0.00,0.00,0
1.694,23.89,-11.25,0.12,0.00,0.00,3,11.50,4.52,11.99,2172,0.00,5.00,-5.41,0,0.00,0.00,0
1.767,23.77,-11.25,0.13,0.00,0.00,3,11.50,4.59,11.99,2161,0.00,5.00,-5.41,0,0.00,0.00,0
1.849,24.00,-11.22,0.13,0.00,0.00,3,11.50,4.59,11.99,2164,0.00,5.00,-5.41,0,0.00,0.00,0
1.901,24.23,-11.22,0.13,0.00,0.00,3,11.50,4.55,11.99,2119,0.00,5.00,-5.41,0,0.00,0.00,0
1.979,23.66,-11.20,0.13,0.00,0.00,3,11.50,4.55,11.99,2126,0.00,5.00,-5.41,0,0.00,0.00,0
2.043,23.89,-11.20,0.13,0.00,0.00,3,11.50,4.52,11.99,2096,0.00,5.00,-5.41,0,0.00,0.00,0
2.131,24.23,-11.18,0.13,0.00,0.00,3,11.50,4.52,11.99,2089,0.00,5.00,-5.41,0,0.00,0.00,0
2.187,23.89,-11.18,0.13,0.00,0.00,3,11.50,4.52,11.99,2091,0.00,5.00,-5.41,0,0.00,0.00,0
2.265,24.12,-11.18,0.13,0.00,0.00,3,11.50,4.52,11.99,2066,0.00,5.00,-5.41,0,0.00,0.00,0
2.328,24.12,-11.16,0.13,0.00,0.00,3,11.50,4.50,11.99,2044,0.00,5.00,-5.41,0,0.00,0.00,0
2.403,24.00,-11.14,0.13,0.00,0.00,3,11.50,4.47,11.99,2012,0.00,5.00,-5.41,0,0.00,0.00,0
2.477,23.77,-11.10,0.13,0.00,0.00,3,11.50,4.47,11.99,1938,0.00,5.00,-5.41,0,0.00,0.00,0
2.540,23.66,-11.08,0.14,0.00,0.00,4,11.50,4.41,11.99,1844,0.00,5.00,-5.41,0,0.00,0.00,0
2.618,24.12,-11.10,0.14,0.00,0.00,4,11.50,4.38,11.99,1745,0.00,5.00,-5.41,0,0.00,0.00,0
2.681,24.00,-11.08,0.15,0.00,0.00,4,11.50,4.35,11.99,1655,0.00,5.00,-5.41,0,0.00,0.00,0
2.758,23.77,-10.98,0.16,0.00,0.00,4,11.50,4.35,11.99,1472,0.00,5.00,-5.41,0,0.00,0.00,0
2.822,23.89,-10.87,0.17,0.00,0.00,4,11.50,4.38,11.99,1372,0.00,5.00,-5.41,0,0.00,0.00,0
2.899,23.89,-10.71,0.18,0.00,0.00,5,20.00,4.38,11.99,1280,0.00,5.00,-5.41,0,0.00,0.00,0
2.962,23.66,-10.58,0.19,0.00,0.00,5,20.00,4.44,11.99,1210,0.00,5.00,-5.41,0,0.00,0.00,0
3.048,23.54,-10.40,0.20,0.00,0.00,5,20.00,4.41,11.99,1217,0.00,5.00,-5.41,0,0.00,0.00,0
3.104,23.43,-10.44,0.20,0.00,0.00,5,20.00,4.29,11.99,1207,0.00,5.00,-5.41,0,0.00,0.00,0
3.177,23.77,-10.48,0.21,0.00,0.00,5,20.00,4.18,11.99,1176,0.00,5.00,-5.41,0,0.00,0.00,0
3.253,23.89,-10.36,0.21,0.00,0.00,5,20.00,4.21,11.99,1099,0.00,5.00,-5.41,0,0.00,0.00,0
3.319,23.77,-10.21,0.22,0.00,0.00,5,20.00,4.29,11.99,1046,0.00,5.00,-5.41,0,0.00,0.00,0
3.394,23.43,-10.09,0.23,0.00,0.00,5,20.00,4.35,11.99,990,0.00,5.00,-5.41,0,0.00,0.00,0
3.470,21.02,-9.90,0.25,0.00,0.00,5,20.00,4.41,11.99,936,0.00,5.00,-5.41,0,0.00,0.00,0
3.537,19.75,-9.71,0.26,0.00,0.00,5,20.00,4.59,11.99,901,0.00,5.00,-5.41,0,0.00,0.00,0
3.605,18.38,-9.51,0.28,0.00,0.00,5,20.00,4.65,11.99,864,0.00,5.00,-5.41,0,0.00,0.00,0
3.679,18.15,-9.34,0.29,0.00,0.00,6,20.00,4.62,11.99,818,0.00,5.00,-5.41,0,0.00,0.00,0
3.756,17.23,-9.18,0.30,0.00,0.00,6,20.00,4.56,11.99,811,0.00,5.00,-5.41,0,0.00,0.00,0
3.812,16.54,-9.09,0.30,0.00,0.00,6,20.00,4.24,11.99,812,0.00,5.00,-5.41,0,0.00,0.00,0
3.888,15.96,-9.05,0.30,0.00,0.00,6,20.00,3.97,11.99,816,0.00,5.00,-5.41,0,0.00,0.00,0
3.952,15.04,-9.07,0.30,0.00,0.00,6,20.00,3.87,11.99,797,0.00,5.00,-5.41,0,0.00,0.00,0
4.026,14.93,-9.03,0.30,0.00,0.00,6,20.00,3.87,11.99,784,0.00,5.00,-5.41,0,0.00,0.00,0
4.095,14.59,-9.01,0.30,0.00,0.00,6,20.00,3.87,11.99,778,0.00,5.00,-5.41,0,0.00,0.00,0
4.172,14.59,-8.99,0.30,0.00,0.00,6,20.00,3.82,11.99,772,0.00,5.00,-5.41,0,0.00,0.00,0
4.240,14.36,-8.97,0.30,0.00,0.00,6,20.00,3.85,11.99,757,0.00,5.00,-5.41,0,0.00,0.00,0
4.313,14.36,-8.89,0.30,0.00,0.00,6,20.00,3.85,11.99,757,0.00,5.00,-5.41,0,0.00,0.00,0
4.386,14.47,-8.88,0.30,0.00,0.00,6,20.00,3.87,11.99,733,0.00,5.00,-5.41,0,0.00,0.00,0
4.452,14.24,-8.80,0.31,0.00,0.00,6,20.00,3.87,11.99,725,0.00,5.00,-5.41,0,0.00,0.00,0
4.519,14.36,-8.72,0.31,0.00,0.00,6,20.00,3.85,11.99,712,0.00,5.00,-5.41,0,0.00,0.00,0
4.592,14.13,-8.70,0.31,0.00,0.00,6,20.00,3.79,11.99,712,0.00,5.00,-5.41,0,0.00,0.00,0
4.666,14.24,-8.66,0.31,0.00,0.00,6,20.00,3.72,11.99,706,0.00,5.00,-5.41,0,0.00,0.00,0
4.732,14.36,-8.64,0.32,0.00,0.00,6,20.00,3.74,11.99,689,0.00,5.00,-5.41,0,0.00,0.00,0
4.808,14.59,-8.59,0.32,0.00,0.00,6,20.00,3.77,11.99,693,0.00,5.00,-5.41,0,0.00,0.00,0
4.881,14.70,-8.53,0.32,0.00,0.00,6,20.00,3.85,11.99,701,0.00,5.00,-5.41,0,0.00,0.00,0
4.952,14.59,-8.49,0.32,0.00,0.00,6,20.00,3.87,11.99,710,0.00,5.00,-5.41,0,0.00,0.00,0
5.025,14.59,-8.45,0.32,0.00,0.00,6,20.00,3.90,11.99,704,0.00,5.00,-5.41,0,0.00,0.00,0
5.090,14.59,-8.45,0.32,0.00,0.00,6,20.00,3.82,11.99,709,0.00,5.00,-5.41,0,0.00,0.00,0
5.162,14.59,-8.43,0.32,0.00,0.00,6,20.00,3.87,11.99,710,0.00,5.00,-5.41,0,0.00,0.00,0
5.235,14.70,-8.45,0.32,0.00,0.00,6,18.00,3.82,11.99,722,0.00,5.00,-5.41,0,0.00,0.00,0
5.302,14.59,-8.45,0.32,0.00,0.00,6,18.00,3.82,11.99,732,0.00,5.00,-5.41,0,0.00,0.00,0
5.379,14.47,-8.53,0.32,0.00,0.00,6,16.50,3.77,11.99,732,0.00,5.00,-5.41,0,0.00,0.00,0
5.443,14.36,-8.60,0.31,0.00,0.00,5,16.00,3.67,11.99,743,0.00,5.00,-5.41,0,0.00,0.00,0
5.519,14.47,-8.57,0.31,0.00,0.00,5,15.00,3.72,11.99,749,0.00,5.00,-5.41,0,0.00,0.00,0
5.579,14.59,-8.53,0.32,0.00,0.00,5,16.00,4.18,11.99,730,0.00,5.00,-5.41,0,0.00,0.00,0
5.655,14.47,-8.43,0.33,0.00,0.00,5,16.50,4.18,11.99,720,0.00,5.00,-5.41,0,0.00,0.00,0
5.721,14.24,-8.41,0.33,0.00,0.00,5,15.50,4.21,11.99,727,0.00,5.00,-5.41,0,0.00,0.00,0
5.794,14.36,-8.39,0.33,0.00,0.00,5,14.00,4.21,11.99,741,0.00,5.00,-5.41,0,0.00,0.00,0
5.868,14.47,-8.33,0.33,0.00,0.00,5,13.00,4.21,11.99,750,0.00,5.00,-5.41,0,0.00,0.00,0
5.948,14.59,-8.35,0.33,0.00,0.00,4,13.50,4.18,11.99,744,0.00,5.00,-5.41,0,0.00,0.00,0
6.021,14.59,-8.35,0.33,0.00,0.00,4,13.00,4.18,11.99,745,0.00,5.00,-5.41,0,0.00,0.00,0
6.084,14.59,-8.39,0.33,0.00,0.00,4,11.00,4.21,11.99,764,0.00,5.00,-5.41,0,0.00,0.00,0
6.156,14.70,-8.37,0.33,0.00,0.00,4,11.50,4.21,11.99,758,0.00,5.00,-5.41,0,0.00,0.00,0
6.220,14.70,-8.43,0.33,0.00,0.00,4,11.50,4.21,11.99,763,0.00,5.00,-5.41,0,0.00,0.00,0
6.295,14.47,-8.41,0.33,0.00,0.00,4,11.50,4.18,11.99,762,0.00,5.00,-5.41,0,0.00,0.00,0
6.358,14.59,-8.45,0.33,0.00,0.00,4,11.00,4.21,11.99,761,0.00,5.00,-5.41,0,0.00,0.00,0
6.432,14.36,-8.43,0.33,0.00,0.00,4,11.50,4.18,11.99,760,0.00,5.00,-5.41,0,0.00,0.00,0
6.505,14.59,-8.43,0.33,0.00,0.00,4,12.00,4.21,11.99,757,0.00,5.00,-5.41,0,0.00,0.00,0
6.583,14.47,-8.43,0.33,0.00,0.00,4,11.50,4.21,11.99,759,0.00,5.00,-5.41,0,0.00,0.00,0
6.642,14.47,-8.45,0.33,0.00,0.00,4,11.50,4.21,11.99,762,0.00,5.00,-5.41,0,0.00,0.00,0
6.717,14.36,-8.43,0.33,0.00,0.00,4,12.00,4.18,11.99,758,0.00,5.00,-5.41,0,0.00,0.00,0
6.791,14.47,-8.41,0.33,0.00,0.00,4,13.00,4.21,11.99,748,0.00,5.00,-5.41,0,0.00,0.00,0
6.861,14.24,-8.43,0.33,0.00,0.00,3,11.50,4.18,11.99,761,0.00,5.00,-5.41,0,0.00,0.00,0
6.937,14.36,-8.45,0.33,0.00,0.00,3,10.50,4.18,11.99,765,0.00,5.00,-5.41,0,0.00,0.00,0
6.999,14.36,-8.49,0.33,0.00,0.00,3,10.50,4.18,11.99,773,0.00,5.00,-5.41,0,0.00,0.00,0
7.073,14.24,-8.45,0.33,0.00,0.00,3,13.00,4.18,11.99,752,0.00,5.00,-5.41,0,0.00,0.00,0
7.142,14.36,-8.43,0.33,0.00,0.00,3,14.00,4.16,11.99,738,0.00,5.00,-5.41,0,0.00,0.00,0
7.216,14.13,-8.39,0.33,0.00,0.00,3,14.00,4.21,11.99,739,0.00,5.00,-5.41,0,0.00,0.00,0
7.279,14.36,-8.41,0.33,0.00,0.00,3,13.50,4.21,11.99,750,0.00,5.00,-5.41,0,0.00,0.00,0
7.353,14.13,-8.39,0.33,0.00,0.00,3,11.00,4.13,11.99,763,0.00,5.00,-5.41,0,0.00,0.00,0
7.425,14.13,-8.39,0.33,0.00,0.00,3,11.00,4.13,11.99,760,0.00,5.00,-5.41,0,0.00,0.00,0
7.505,14.01,-8.41,0.33,0.00,0.00,3,12.50,4.13,11.99,748,0.00,5.00,-5.41,0,0.00,0.00,0
7.568,14.24,-8.41,0.33,0.00,0.00,3,12.50,4.18,11.99,747,0.00,5.00,-5.41,0,0.00,0.00,0
7.645,14.01,-8.41,0.33,0.00,0.00,3,12.00,4.18,11.99,752,0.00,5.00,-5.41,0,0.00,0.00,0
7.704,14.13,-8.41,0.33,0.00,0.00,3,12.00,4.18,11.99,752,0.00,5.00,-5.41,0,0.00,0.00,0
7.777,14.24,-8.41,0.33,0.00,0.00,3,11.50,4.16,11.99,758,0.00,5.00,-5.41,0,0.00,0.00,0
7.845,14.24,-8.43,0.33,0.00,0.00,2,12.00,4.13,11.99,749,0.00,5.00,-5.41,0,0.00,0.00,0
7.919,14.24,-8.41,0.33,0.00,0.00,2,13.00,4.16,11.99,741,0.00,5.00,-5.41,0,0.00,0.00,0
7.991,14.13,-8.39,0.33,0.00,0.00,2,13.00,4.16,11.99,741,0.00,5.00,-5.41,0,0.00,0.00,0
8.058,14.24,-8.37,0.33,0.00,0.00,2,12.00,4.16,11.99,750,0.00,5.00,-5.41,0,0.00,0.00,0
8.131,14.24,-8.41,0.33,0.00,0.00,2,11.50,4.16,11.99,755,0.00,5.00,-5.41,0,0.00,0.00,0
8.204,14.24,-8.39,0.33,0.00,0.00,2,12.00,4.18,11.99,749,0.00,5.00,-5.41,0,0.00,0.00,0
8.269,14.36,-8.43,0.33,0.00,0.00,1,11.50,4.13,11.99,756,0.00,5.00,-5.41,0,0.00,0.00,0
8.342,14.36,-8.43,0.33,0.00,0.00,1,11.50,4.13,11.99,756,0.00,5.00,-5.41,0,0.00,0.00,0
8.412,14.24,-8.41,0.33,0.00,0.00,1,11.00,4.18,11.99,759,0.00,5.00,-5.41,0,0.00,0.00,0
8.483,14.13,-8.43,0.33,0.00,0.00,1,11.00,4.18,11.99,760,0.00,5.00,-5.41,0,0.00,0.00,0
