Time (sec),AF Sens 1 Ratio (AFR),Boost (PSI),Calculated Load (g/rev),Feedback Knock (°),Fine Knock Learn (°),Gear Position (Gear),Ignition Timing (°),MAF (g/s),Primary Ign. (°),RPM (RPM),TD Burst (%),TD Continuous (%),Target Boost (PSI),Throttle Pos. (%),Wastegate Duty (%),Wastegate Max (%),AP Info:[AP3-SUB-001 v1.7.3.0-12522][2004 USDM Impreza WRX][Reflash: EXPERIMENTAL-TP-cobb2.ptm - Realtime: EXPERIMENTAL-TP-cobb2.ptm]
8.556,14.13,-8.43,0.33,0.00,0.00,1,10.50,4.16,11.99,763,0.00,5.00,-5.41,0,0.00,0.00,0
8.626,14.01,-8.43,0.33,0.00,0.00,1,11.50,4.13,11.99,756,0.00,5.00,-5.41,0,0.00,0.00,0
8.707,14.24,-8.41,0.33,0.00,0.00,1,13.00,4.18,11.99,743,0.00,5.00,-5.41,0,0.00,0.00,0
8.771,14.01,-8.45,0.33,0.00,0.00,1,11.50,4.13,11.99,749,0.00,5.00,-5.41,0,0.00,0.00,0
8.842,14.13,-8.43,0.33,0.00,0.00,1,11.50,4.16,11.99,755,0.00,5.00,-5.41,0,0.00,0.00,0
8.917,14.24,-8.45,0.33,0.00,0.00,1,11.00,4.16,11.99,759,0.00,5.00,-5.41,0,0.00,0.00,0
8.981,14.13,-8.43,0.33,0.00,0.00,1,13.00,4.13,11.99,738,0.00,5.00,-5.41,0,0.00,0.00,0
9.061,14.36,-8.41,0.33,0.00,0.00,1,13.00,4.18,11.99,750,0.00,5.00,-5.41,0,0.00,0.00,0
9.125,14.01,-8.41,0.33,0.00,0.00,1,11.50,4.18,11.99,754,0.00,5.00,-5.41,0,0.00,0.00,0
9.205,14.13,-8.41,0.33,0.00,0.00,1,11.50,4.18,11.99,750,0.00,5.00,-5.41,0,0.00,0.00,0
9.267,14.13,-8.41,0.33,0.00,0.00,1,12.00,4.13,11.99,748,0.00,5.00,-5.41,0,0.00,0.00,0
9.346,14.24,-8.41,0.33,0.00,0.00,1,13.00,4.13,11.99,741,0.00,5.00,-5.41,0,0.00,0.00,0
9.404,14.01,-8.47,0.33,0.00,0.00,1,11.50,3.85,11.99,752,0.00,5.00,-5.41,0,0.00,0.00,0
9.479,14.13,-8.57,0.32,0.00,0.00,1,10.50,3.79,11.99,761,0.00,5.00,-5.41,0,0.00,0.00,0
9.547,14.01,-8.66,0.32,0.00,0.00,1,10.00,3.74,11.99,767,0.00,5.00,-5.41,0,0.00,0.00,0
9.620,13.90,-8.70,0.31,0.00,0.00,1,11.50,3.72,11.99,753,0.00,5.00,-5.41,0,0.00,0.00,0
9.685,13.90,-8.72,0.31,0.00,0.00,1,12.50,3.77,11.99,752,0.00,5.00,-5.41,0,0.00,0.00,0
9.760,13.67,-8.74,0.31,0.00,0.00,1,13.00,3.77,11.99,741,0.00,5.00,-5.41,0,0.00,0.00,0
9.830,13.90,-8.74,0.31,0.00,0.00,1,15.00,3.77,11.99,720,0.00,5.00,-5.41,0,0.00,0.00,0
9.908,13.78,-8.70,0.31,0.00,0.00,1,15.00,3.77,11.99,714,0.00,5.00,-5.41,0,0.00,0.00,0
9.969,13.67,-8.66,0.31,0.00,0.00,1,16.50,3.79,11.99,699,0.00,5.00,-5.41,0,0.00,0.00,0
10.042,13.78,-8.62,0.32,0.00,0.00,1,16.50,3.79,11.99,701,0.00,5.00,-5.41,0,0.00,0.00,0
10.108,13.78,-8.60,0.32,0.00,0.00,1,16.00,3.85,11.99,704,0.00,5.00,-5.41,0,0.00,0.00,0
10.190,13.78,-8.55,0.32,0.00,0.00,1,14.50,3.87,11.99,714,0.00,5.00,-5.41,0,0.00,0.00,0
10.253,13.78,-8.53,0.32,0.00,0.00,1,15.50,3.87,11.99,712,0.00,5.00,-5.41,0,0.00,0.00,0
10.329,13.90,-8.51,0.32,0.00,0.00,1,15.00,3.82,11.99,707,0.00,5.00,-5.41,0,0.00,0.00,0
10.391,13.67,-8.53,0.32,0.00,0.00,1,14.50,3.77,11.99,708,0.00,5.00,-5.41,0,0.00,0.00,0
10.464,13.78,-8.51,0.32,0.00,0.00,1,14.50,3.79,11.99,706,0.00,5.00,-5.41,0,0.00,0.00,0
10.534,13.90,-8.51,0.32,0.00,0.00,1,14.00,3.82,11.99,706,0.00,5.00,-5.41,0,0.00,0.00,0
10.614,13.78,-8.49,0.32,0.00,0.00,1,15.00,3.85,11.99,700,0.00,5.00,-5.41,0,0.00,0.00,0
10.677,14.01,-8.43,0.33,0.00,0.00,1,14.00,3.95,11.99,706,0.00,5.00,-5.41,0,0.00,0.00,0
10.743,14.01,-8.45,0.33,0.00,0.00,1,13.00,3.92,11.99,704,0.00,5.00,-5.41,0,0.00,0.00,0
10.817,13.90,-8.41,0.33,0.00,0.00,1,14.00,3.90,11.99,704,0.00,5.00,-5.41,0,0.00,0.00,0
10.886,14.01,-8.41,0.33,0.00,0.00,1,13.50,3.97,11.99,706,0.00,5.00,-5.41,0,0.00,0.00,0
10.968,13.90,-8.39,0.33,0.00,0.00,1,13.00,3.97,11.99,705,0.00,5.00,-5.41,0,0.00,0.00,0
11.029,14.01,-8.37,0.33,0.00,0.00,1,13.00,3.97,11.99,713,0.00,5.00,-5.41,0,0.00,0.00,0
11.102,14.13,-8.39,0.33,0.00,0.00,1,11.50,4.00,11.99,721,0.00,5.00,-5.41,0,0.00,0.00,0
11.174,14.24,-8.35,0.33,0.00,0.00,1,12.50,4.02,11.99,714,0.00,5.00,-5.41,0,0.00,0.00,0
11.240,14.13,-8.37,0.33,0.00,0.00,1,14.00,3.97,11.99,698,0.00,5.00,-5.41,0,0.00,0.00,0
11.313,14.24,-8.31,0.34,0.00,0.00,1,14.00,4.00,11.99,699,0.00,5.00,-5.41,0,0.00,0.00,0
11.386,14.24,-8.31,0.34,0.00,0.00,1,12.50,4.02,11.99,710,0.00,5.00,-5.41,0,0.00,0.00,0
11.458,14.24,-8.31,0.34,0.00,0.00,1,12.50,4.02,11.99,710,0.00,5.00,-5.41,0,0.00,0.00,0
11.525,14.24,-8.31,0.34,0.00,0.00,1,11.50,4.02,11.99,718,0.00,5.00,-5.41,0,0.00,0.00,0
11.603,14.13,-8.33,0.34,0.00,0.00,1,11.00,3.95,11.99,715,0.00,5.00,-5.41,0,0.00,0.00,0
11.664,14.36,-8.33,0.34,0.00,0.00,1,12.00,3.95,11.99,726,0.00,5.00,-5.41,0,0.00,0.00,0
11.736,14.47,-8.35,0.33,0.00,0.00,1,11.00,3.97,11.99,722,0.00,5.00,-5.41,0,0.00,0.00,0
11.810,14.36,-8.35,0.33,0.00,0.00,1,12.00,3.97,11.99,715,0.00,5.00,-5.41,0,0.00,0.00,0
11.888,14.59,-8.35,0.33,0.00,0.00,1,11.50,3.97,11.99,720,0.00,5.00,-5.41,0,0.00,0.00,0
11.947,14.47,-8.35,0.33,0.00,0.00,1,11.50,4.02,11.99,720,0.00,5.00,-5.41,0,0.00,0.00,0
12.019,14.59,-8.33,0.34,0.00,0.00,1,12.00,4.05,11.99,718,0.00,5.00,-5.41,0,0.00,0.00,0
12.093,14.47,-8.35,0.34,0.00,0.00,1,12.50,4.02,11.99,711,0.00,5.00,-5.41,0,0.00,0.00,0
12.174,14.59,-8.31,0.34,0.00,0.00,1,11.50,4.08,11.99,716,0.00,5.00,-5.41,0,0.00,0.00,0
12.238,14.59,-8.35,0.34,0.00,0.00,1,11.00,4.05,11.99,723,0.00,5.00,-5.41,0,0.00,0.00,0
12.303,14.59,-8.33,0.34,0.00,0.00,1,10.00,4.08,11.99,733,0.00,5.00,-5.41,0,0.00,0.00,0
12.387,14.70,-8.37,0.33,0.00,0.00,1,10.00,4.08,11.99,734,0.00,5.00,-5.41,0,0.00,0.00,0
12.442,14.59,-8.41,0.33,0.00,0.00,1,10.50,4.02,11.99,728,0.00,5.00,-5.41,0,0.00,0.00,0
12.516,14.70,-8.41,0.33,0.00,0.00,1,12.00,4.00,11.99,724,0.00,5.00,-5.41,0,0.00,0.00,0
12.584,14.70,-8.41,0.33,0.00,0.00,1,11.50,4.02,11.99,735,0.00,5.00,-5.41,0,0.00,0.00,0
12.657,14.70,-8.41,0.33,0.00,0.00,1,11.50,4.02,11.99,724,0.00,5.00,-5.41,0,0.00,0.00,0
12.725,14.70,-8.43,0.33,0.00,0.00,1,12.00,4.00,11.99,719,0.00,5.00,-5.41,0,0.00,0.00,0
12.799,14.59,-8.43,0.33,0.00,0.00,1,11.50,4.05,11.99,719,0.00,5.00,-5.41,0,0.00,0.00,0
12.866,14.70,-8.41,0.33,0.00,0.00,1,10.00,4.02,11.99,735,0.00,5.00,-5.41,0,0.00,0.00,0
12.942,14.59,-8.45,0.33,0.00,0.00,1,9.50,4.00,11.99,740,0.00,5.00,-5.41,0,0.00,0.00,0
13.015,14.59,-8.45,0.33,0.00,0.00,1,11.00,3.97,11.99,728,0.00,5.00,-5.41,0,0.00,0.00,0
13.094,14.47,-8.49,0.33,0.00,0.00,1,12.50,3.92,11.99,716,0.00,5.00,-5.41,0,0.00,0.00,0
13.157,14.59,-8.45,0.33,0.00,0.00,1,12.50,3.95,11.99,716,0.00,5.00,-5.41,0,0.00,0.00,0
13.224,14.70,-8.45,0.33,0.00,0.00,1,11.50,4.02,11.99,722,0.00,5.00,-5.41,0,0.00,0.00,0
13.302,14.47,-8.43,0.33,0.00,0.00,1,12.00,4.02,11.99,717,0.00,5.00,-5.41,0,0.00,0.00,0
13.363,14.47,-8.41,0.33,0.00,0.00,1,13.50,4.02,11.99,706,0.00,5.00,-5.41,0,0.00,0.00,0
13.448,14.47,-8.39,0.33,0.00,0.00,1,13.00,3.97,11.99,714,0.00,5.00,-5.41,0,0.00,0.00,0
13.511,14.59,-8.35,0.34,0.00,0.00,1,11.00,4.00,11.99,723,0.00,5.00,-5.41,0,0.00,0.00,0
13.578,14.59,-8.41,0.34,0.00,0.00,1,11.50,4.02,11.99,719,0.00,5.00,-5.41,0,0.00,0.00,0
13.651,14.47,-8.37,0.33,0.00,0.00,1,10.50,4.02,11.99,728,0.00,5.00,-5.41,0,0.00,0.00,0
13.716,14.36,-8.43,0.33,0.00,0.00,1,10.50,3.97,11.99,730,0.00,5.00,-5.41,0,0.00,0.00,0
13.794,14.47,-8.45,0.33,0.00,0.00,1,10.00,3.97,11.99,736,0.00,5.00,-5.41,0,0.00,0.00,0
13.864,14.59,-8.49,0.33,0.00,0.00,1,9.50,3.90,11.99,742,0.00,5.00,-5.41,0,0.00,0.00,0
13.928,14.36,-8.53,0.33,0.00,0.00,1,10.50,3.92,11.99,735,0.00,5.00,-5.41,0,0.00,0.00,0
14.010,14.59,-8.51,0.33,0.00,0.00,1,11.50,3.97,11.99,722,0.00,5.00,-5.41,0,0.00,0.00,0
14.073,14.36,-8.53,0.33,0.00,0.00,1,12.00,3.95,11.99,720,0.00,5.00,-5.41,0,0.00,0.00,0
14.139,14.47,-8.51,0.33,0.00,0.00,1,11.50,3.97,11.99,722,0.00,5.00,-5.41,0,0.00,0.00,0
14.211,14.59,-8.51,0.33,0.00,0.00,1,11.50,3.92,11.99,722,0.00,5.00,-5.41,0,0.00,0.00,0
14.288,14.47,-8.49,0.33,0.00,0.00,1,12.00,3.97,11.99,702,0.00,5.00,-5.41,0,0.00,0.00,0
